byi,北营,BIV,beiying,by,28,0405,太原,,sbHTqg==
cch,长春,CCT,changchun,cc,29,0110,长春,12,s6S0ug==
ccn,长春南,CET,changchunnan,ccn,30,0110,长春,16:30,s6S0usTP
ccx,长春西,CRT,changchunxi,ccx,31,0110,长春,12,s6S0us73
cdd,成都东,ICW,chengdudong,cdd,33,1707,成都,08:45,s8m2vLar
cdn,成都南,CNW,chengdunan,cdn,34,1707,成都,09,s8m2vMTP
cdu,成都,CDW,chengdu,cd,36,1707,成都,09,s8m2vA==
cdx,成都西,CMW,chengduxi,cdx,37,1707,成都,09,s8m2vM73
cgy,陈官营,CAJ,chenguanying,cgy,38,2102,兰州,,s8K52dOq
cqi,长清,CNK,changqing,cq,39,0602,济南,08:30,s6TH5Q==
csh,长沙,CSQ,changsha,cs,40,1407,长沙,15:45,s6TJsw==
csn,长沙南,CWQ,changshanan,csn,41,1407,长沙,15:45,s6TJs8TP
csx,长沙西,RXQ,changshaxi,csx,42,1407,长沙,17:30,s6TJs873
czh,常庄,CVK,changzhuang,cz,43,0602,济南,,s6PXrw==
dch,大成,DCT,dacheng,dc,44,0205,沈阳,16:30,tPOzyQ==
dni,大拟,DNZ,dani,dn,45,1607,南宁,,tPPE4g==
dwt,大王滩,DZZ,dawangtan,dwt,46,1607,南宁,,tPPN9cyy
dyu,大元,DYZ,dayuan,dy,47,1607,南宁,,tPPUqg==
fsc,丰水村,FSJ,fengshuicun,fsc,48,2102,兰州,,t+HLrrTl
fzh,福州,FZS,fuzhou,fz,49,1004,福州,17:15,uKPW3Q==
fzn,福州南,FYS,fuzhounan,fzn,51,1004,福州,17:15,uKPW3cTP
gcd,甘草店,GDJ,gancaodian,gcd,53,2102,兰州,,uMqy3bXq
gch,钢城,GAK,gangcheng,gc,54,0602,济南,14,uNazxw==
gjz,孤家子,GKT,gujiazi,gjz,55,0205,沈阳,16:30,ucK80tfT
gnw,广南卫,GNM,guangnanwei,gnw,56,1902,昆明,,uePEz87A
gya,贵阳,GIW,guiyang,gy,57,1803,贵阳,11:15,ufPR9A==
gyb,贵阳北,KQW,guiyangbei,gyb,59,1803,贵阳,11:15,ufPR9LGx
gyd,贵阳东,KEW,guiyangdong,gyd,60,1803,贵阳,11:15,ufPR9Lar
gzb,广州北,GBQ,guangzhoubei,gzb,61,1502,广州,11:45,uePW3bGx
gzd,广州东,GGQ,guangzhoudong,gzd,62,1502,广州,11:45,uePW3bar
gzh,广州,GZQ,guangzhou,gz,63,1502,广州,11:45,uePW3Q==
gzn,广州南,IZQ,guangzhounan,gzn,64,1502,广州,10:15,uePW3cTP
gzt,广州新塘,XWQ,guangzhouxintang,gzxt,65,1502,广州,11,uePW3dDCzME=
gzx,广州西,GXQ,guangzhouxi,gzx,66,1502,广州,,uePW3c73
gzy,广州白云,GBA,guangzhoubaiyun,gzby,67,1502,广州,11:45,uePW3bDX1MY=
heb,哈尔滨北,HTB,haerbinbei,hebb,68,0034,哈尔滨,10,uf62+7H1sbE=
heb,哈尔滨,HBB,haerbin,heb,69,0034,哈尔滨,10,uf62+7H1
hed,哈尔滨东,VBB,haerbindong,hebd,71,0034,哈尔滨,10,uf62+7H1tqs=
hex,哈尔滨西,VAB,haerbinxi,hebx,72,0034,哈尔滨,10,uf62+7H1zvc=
hfc,合肥北城,COH,hefeibeicheng,hfbc,73,0809,合肥,12:30,us+3yrGxs8c=
hfe,合肥,HFH,hefei,hf,74,0809,合肥,12:30,us+3yg==
hfn,合肥南,ENH,hefeinan,hfn,75,0809,合肥,12:30,us+3ysTP
hfx,合肥西,HFU,hefeixi,hfx,77,0809,合肥,12:30,us+3ys73
hgt,皇姑屯,HTT,huanggutun,hgt,78,0205,沈阳,16:30,u8q5w83N
hhd,呼和浩特东,NDC,huhehaotedong,hhhtd,79,0511,呼和浩特,14,uvS6zbrGzNi2qw==
hht,呼和浩特,HHC,huhehaote,hhht,80,0511,呼和浩特,14,uvS6zbrGzNg=
hkd,海口东,HMQ,haikoudong,hkd,82,2501,海口,13:30,uqO/2rar
hko,海口,VUQ,haikou,hk,83,2501,海口,13:30,uqO/2g==
hzd,杭州东,HGH,hangzhoudong,hzd,84,0904,杭州,10:45,urzW3bar
hzh,杭州,HZH,hangzhou,hz,85,0904,杭州,10:45,urzW3Q==
hzn,杭州南,XHH,hangzhounan,hzn,86,0904,杭州,10:45,urzW3cTP
jna,济南,JNK,jinan,jn,87,0602,济南,14:15,vMPEzw==
jnd,济南东,MDK,jinandong,jnd,89,0602,济南,14:15,vMPEz7ar
jnx,济南西,JGK,jinanxi,jnx,90,0602,济南,14:15,vMPEz873
kmi,昆明,KMM,kunming,km,92,1902,昆明,14:30,wKXD9w==
kmn,昆明南,KOM,kunmingnan,kmn,93,1902,昆明,14:30,wKXD98TP
lch,历城,VHK,licheng,lc,94,0602,济南,14,wPqzxw==
ljl,蔺家楼,ULK,linjialou,ljl,95,0602,济南,,3f680sKl
lqs,龙泉寺,UQJ,longquansi,lqs,96,2102,兰州,,wfrIqsvC
lsa,拉萨,LSO,lasa,ls,97,2751,拉萨,15,wK3I+A==
lsc,乐善村,LUM,leshancun,lsc,98,1902,昆明,,wNbJxrTl
lsp,林盛堡,LBT,linshengpu,lsp,99,0205,沈阳,,wdbKorGk
ltx,骆驼巷,LTJ,luotuoxiang,ltx,100,2102,兰州,,wubN1c/v
lwb,莱芜北,VIK,laiwubei,lwb,101,0602,济南,14,wLPO37Gx
lzd,兰州东,LVJ,lanzhoudong,lzd,102,2102,兰州,,wLzW3bar
lzh,兰州,LZJ,lanzhou,lz,103,2102,兰州,09,wLzW3Q==
lzq,兰州新区,LQJ,lanzhouxinqu,lzxq,104,2102,兰州,09,wLzW3dDCx/g=
lzx,兰州西,LAJ,lanzhouxi,lzx,105,2102,兰州,09,wLzW3c73
msz,茂舍祖,MOM,maoshezu,msz,106,1902,昆明,,w6/J4dfm
ncd,南昌东,NUG,nanchangdong,ncd,107,1104,南昌,09:45,xM+y/bar
nch,南昌,NCG,nanchang,nc,109,1104,南昌,09:45,xM+y/Q==
ncn,南昌南,HOG,nanchangnan,ncn,110,1104,南昌,09:45,xM+y/cTP
ncu,宁村,NCZ,ningcun,nc,111,1607,南宁,,xP605Q==
ncx,南昌西,NXG,nanchangxi,ncx,112,1104,南昌,09:45,xM+y/c73
nji,南京,NJH,nanjing,nj,113,0705,南京,08:15,xM++qQ==
njn,南京南,NKH,nanjingnan,njn,114,0705,南京,08:15,xM++qcTP
nlu,那罗,ULZ,naluo,nl,115,1607,南宁,,xMfC3g==
nnb,南宁北,NRZ,nanningbei,nnb,116,1607,南宁,15:15,xM/E/rGx
nnd,南宁东,NFZ,nanningdong,nnd,117,1607,南宁,15:15,xM/E/rar
nni,南宁,NNZ,nanning,nn,118,1607,南宁,15:15,xM/E/g==
nnx,南宁西,NXZ,nanningxi,nnx,119,1607,南宁,17:30,xM/E/s73
npu,那铺,NPZ,napu,np,120,1607,南宁,,xMfGzA==
nqu,暖泉,NQJ,nuanquan,nq,121,2302,银川,,xa/Iqg==
pdx,坡底下,PXJ,podixia,pdx,122,2102,兰州,,xsK118/C
qdi,七甸,QDM,qidian,qd,123,1902,昆明,,xt+16Q==
sby,世博园,ZWT,shiboyuan,sby,124,0205,沈阳,16:30,ysCyqdSw
sjb,石家庄北,VVP,shijiazhuangbei,sjzb,125,0365,石家庄,14:15,yq+80tevsbE=
sjd,石家庄东,SXP,shijiazhuangdong,sjzd,126,0365,石家庄,16,yq+80tevtqs=
sjt,邵家堂,SJJ,shaojiatang,sjt,127,2102,兰州,,ydu80szD
sjz,石家庄,SJP,shijiazhuang,sjz,128,0365,石家庄,14:15,yq+80tev
sjz,施家嘴,SHM,shijiazui,sjz,129,1902,昆明,,yqm80tfs
sya,沈阳,SYT,shenyang,sy,130,0205,沈阳,09:30,yfLR9A==
syb,沈阳北,SBT,shenyangbei,syb,131,0205,沈阳,09,yfLR9LGx
syd,沈阳东,SDT,shenyangdong,syd,132,0205,沈阳,16:30,yfLR9Lar
syn,沈阳南,SOT,shenyangnan,syn,133,0205,沈阳,09:30,yfLR9MTP
syu,水源,OYJ,shuiyuan,sy,134,2102,兰州,,y67UtA==
syx,沈阳西,OOT,shenyangxi,syx,135,0205,沈阳,16:30,yfLR9M73
syz,桑园子,SAJ,sangyuanzi,syz,136,2102,兰州,,yaPUsNfT
tyd,太原东,TDV,taiyuandong,tyd,137,0405,太原,15,zKvUrbar
tyn,太原南,TNV,taiyuannan,tyn,138,0405,太原,14:15,zKvUrcTP
tyu,太原,TYV,taiyuan,ty,139,0405,太原,14:30,zKvUrQ==
wha,武汉,WHN,wuhan,wh,140,1314,武汉,13:30,zuS6ug==
whd,武汉东,LFN,wuhandong,whd,141,1314,武汉,13:30,zuS6urar
wjw,王家湾,WJJ,wangjiawan,wjw,142,2102,兰州,,zfW80s3l
wln,乌鲁木齐南,WMR,wulumuqinan,wlmqn,143,2403,乌鲁木齐,08:30,ztrCs8S+xuvEzw==
wlq,乌鲁木齐,WAR,wulumuqi,wlmq,144,2403,乌鲁木齐,08:30,ztrCs8S+xus=
wxc,吴圩机场,WJZ,wuxujichang,wxjc,145,1607,南宁,17:30,zuLb17v6s6E=
xab,西安北,EAY,xianbei,xab,146,2003,西安,10:30,zvewsrGx
xan,西安,XAY,xian,xa,147,2003,西安,11:30,zvewsg==
xgc,西固城,XUJ,xigucheng,xgc,148,2102,兰州,,zve5zLPH
xjk,西街口,EKM,xijiekou,xjk,149,1902,昆明,,zve91r/a
xjt,许家台,XTJ,xujiatai,xjt,150,2102,兰州,,0O280syo
xni,西宁,XNO,xining,xn,151,2201,西宁,15,zvfE/g==
xsh,小哨,XAM,xiaoshao,xs,152,1902,昆明,,0KHJ2g==
xye,雪野,XYK,xueye,xy,153,0602,济南,14,0anSsA==
ych,银川,YIJ,yinchuan,yc,154,2302,银川,10:30,0vi0qA==
yfy,永丰营,YYM,yongfengying,yfy,155,1902,昆明,,08C34dOq
yna,宜耐,YVM,yinai,yn,156,1902,昆明,,0svEzQ==
yst,榆树台,YUT,yushutai,yst,157,0205,沈阳,16:30,09zK98yo
yzh,引镇,CAY,yinzhen,yz,158,2003,西安,18,0v3V8g==
zjy,朱家窑,ZUJ,zhujiayao,zjy,159,2102,兰州,,1uy80tKk
zqn,章丘南,VQK,zhangqiunan,zqn,160,0602,济南,14,1cLH8MTP
zzd,郑州东,ZAF,zhengzhoudong,zzd,161,1222,郑州,15:15,1qPW3bar
zzg,郑州航空港,ZIF,zhengzhouhangkonggang,zzhkg,162,1222,郑州,15:15,1qPW3bq9v9W42w==
zzh,郑州,ZZF,zhengzhou,zz,163,1222,郑州,15:15,1qPW3Q==
zzx,郑州西,XPF,zhengzhouxi,zzx,164,1222,郑州,15:15,1qPW3c73
aax,昂昂溪,AAX,angangxi,aax,165,0007,齐齐哈尔,16:30,sLqwus+q
acb,阿城北,ABB,achengbei,acb,166,0034,哈尔滨,09,sKKzx7Gx
ach,阿城,ACB,acheng,ac,167,0034,哈尔滨,16:30,sKKzxw==
aci,安次,ACI,anci,ac,168,0358,廊坊,16,sLK0zg==
ada,安达,ADX,anda,ad,169,0015,绥化,16:30,sLK07w==
ade,安德,ARW,ande,ad,170,1707,成都,15:30,sLK1wg==
aeb,阿尔山北,ARX,aershanbei,aesb,171,1646,兴安,16,sKK2+8m9sbE=
aes,阿尔山,ART,aershan,aes,172,1646,兴安,16:30,sKK2+8m9
aji,安吉,AJU,anji,aj,173,0901,湖州,09:30,sLK8qg==
aji,安靖,PYW,anjing,aj,174,1707,成都,15:30,sLK+uA==
aji,安家,AJB,anjia,aj,175,0034,哈尔滨,16:30,sLK80g==
aka,安康,AKY,ankang,ak,176,2006,安康,16,sLK/tQ==
aks,阿克苏,ASR,akesu,aks,177,2409,阿克苏,09,sKK/y8vV
akt,阿克陶,AER,aketao,akt,178,2411,阿图什,09,sKK/y8zV
ale,阿拉尔,AOR,alaer,ale,179,2409,阿克苏,09,sKLArbb7
alh,阿里河,AHX,alihe,alh,180,9096,呼伦贝尔,16:30,sKLA77rT
alk,阿拉山口,AKR,alashankou,alsk,181,2407,博乐,09,sKLArcm9v9o=
alt,阿勒泰,AUR,aletai,alt,182,2424,阿勒泰,09,sKLA1cyp
alu,安陆,ALN,anlu,al,183,1313,孝感,18,sLLCvQ==
alx,安陆西,AXN,anluxi,alx,184,1313,孝感,18,sLLCvc73
aqi,安庆,AQH,anqing,aq,185,0816,安庆,12:30,sLLH7A==
aqx,安庆西,AIU,anqingxi,aqx,186,0816,安庆,12:30,sLLH7M73
ash,安顺,ASW,anshun,as,187,1805,安顺,15:30,sLLLsw==
ash,鞍山,AST,anshan,as,188,0213,鞍山,15:30,sLDJvQ==
asx,安顺西,ASE,anshunxi,asx,189,1805,安顺,15:30,sLLLs873
asx,鞍山西,AXT,anshanxi,asx,190,0213,鞍山,15:30,sLDJvc73
atb,安亭北,ASH,antingbei,atb,191,0712,上海,14:30,sLLNpLGx
atx,安亭西,AXU,antingxi,atx,192,0712,上海,14:30,sLLNpM73
aya,安阳,AYF,anyang,ay,193,1201,安阳,12,sLLR9A==
ayd,安阳东,ADF,anyangdong,ayd,194,1201,安阳,12,sLLR9Lar
ban,北安,BAB,beian,ba,195,0009,黑河,16:30,sbGwsg==
bba,博白,BBZ,bobai,bb,196,1606,玉林,17:30,sqmw1w==
bbn,蚌埠南,BMH,bengbunan,bbn,197,0807,蚌埠,18,sPayusTP
bbu,蚌埠,BBH,bengbu,bb,198,0807,蚌埠,18,sPayug==
bch,巴楚,BCR,bachu,bc,199,2410,喀什,09,sM2z/g==
bch,白城,BCT,baicheng,bc,200,0102,白城,08:30,sNezxw==
bch,北辰,BII,beichen,bc,201,0359,天津,16,sbGzvQ==
bdb,宝坻北,BPP,baodibei,bdb,202,0359,天津,16,sabb5rGx
bdc,八达岭长城,VLP,badalingchangcheng,bdlcc,203,0357,北京,16,sMu078Hrs6Szxw==
bdd,保定东,BMP,baodingdong,bdd,204,0326,保定,16,saO2qLar
bdh,北戴河,BEP,beidaihe,bdh,205,0301,秦皇岛,16,sbG097rT
bdi,保定,BDP,baoding,bd,206,0326,保定,16,saO2qA==
bdl,八达岭,ILP,badaling,bdl,207,0357,北京,16,sMu078Hr
bdo,巴东,BBN,badong,bd,208,1361,恩施,18,sM22qw==
bfs,八方山,FGQ,bafangshan,bfs,209,1407,长沙,17:30,sMu3vcm9
bgu,柏果,BGM,baiguo,bg,210,1806,六盘水,15,sNi5+w==
bha,北海,BHZ,beihai,bh,211,1611,北海,17:30,sbG6ow==
bha,滨海,YKP,binhai,bh,212,0359,天津,16,sfW6ow==
bhb,滨海北,FCP,binhaibei,bhb,213,0359,天津,16,sfW6o7Gx
bhe,白河,BEL,baihe,bh,214,9097,延边,16:30,sNe60w==
bhx,滨海西,FHP,binhaixi,bhx,215,0359,天津,16,sfW6o873
bji,毕节,BOE,bijie,bj,216,1848,毕节,15:30,sc+92g==
bji,宝鸡,BJY,baoji,bj,217,2005,宝鸡,12,saa8pg==
bji,白涧,BAP,baijian,bj,218,0326,保定,16,sNe9pw==
bjn,宝鸡南,BBY,baojinan,bjn,219,2005,宝鸡,12,saa8psTP
bjt,北京丰台,FTP,beijingfengtai,bjft,220,0357,北京,08,sbG+qbfhzKg=
bkp,白奎堡,BKB,baikuipu,bkp,221,0034,哈尔滨,16:30,sNe//LGk
bkt,博克图,BKX,boketu,bkt,222,9096,呼伦贝尔,16:30,sqm/y828
ble,博乐,BER,bole,bl,223,2407,博乐,09,sqnA1g==
bli,巴林,BLX,balin,bl,224,9096,呼伦贝尔,16:30,sM3B1g==
bli,勃利,BLB,boli,bl,225,0023,七台河,16:30,sqrA+w==
bmj,白马井,BFQ,baimajing,bmj,226,2515,儋州,13:30,sNfC7b6u
bmt,八面通,BMB,bamiantong,bmt,227,0044,牡丹江,16:30,sMvD5s2o
bpi,北票,BPT,beipiao,bp,228,0233,朝阳,16:30,sbHGsQ==
bqi,宝清,BUB,baoqing,bq,229,0020,双鸭山,16:30,sabH5Q==
bql,宝泉岭,BQB,baoquanling,bql,230,0018,鹤岗,16:30,sabIqsHr
bse,百色,BIZ,baise,bs,231,1610,百色,17:30,sNnJqw==
bss,白山市,HJL,baishanshi,bss,232,0136,白山,15:30,sNfJvcrQ
btd,包头东,BDC,baotoudong,btd,234,0512,包头,14:30,sPzNt7ar
bto,包头,BTC,baotou,bt,235,0512,包头,14:30,sPzNtw==
bts,北屯市,BXR,beitunshi,bts,236,2424,阿勒泰,09,sbHNzcrQ
bxb,宾西北,BBB,binxibei,bxb,237,0034,哈尔滨,09,sfbO97Gx
bxi,本溪,BXT,benxi,bx,238,0208,本溪,16:30,sb7Pqg==
bxj,步行街,BWW,buxingjie,bxj,239,1707,成都,15:30,sr3Q0L3W
bya,宾阳,UKZ,binyang,by,240,1607,南宁,17:30,sfbR9A==
byb,白云鄂博,BEC,baiyunebo,byeb,241,0512,包头,15,sNfUxrb1sqk=
byb,白云北,BVE,baiyunbei,byb,242,1803,贵阳,15:30,sNfUxrGx
byb,白云机场北,BBA,baiyunjichangbei,byjcb,243,1502,广州,14,sNfUxrv6s6GxsQ==
byd,白洋淀,FWP,baiyangdian,byd,244,0326,保定,16,sNfR87Xt
bye,巴彦淖尔,FMC,bayannaoer,byne,245,9034,巴彦淖尔,15,sM3R5cTXtvs=
byh,背荫河,BYB,beiyinhe,byh,246,0034,哈尔滨,16:30,sbPS8brT
byi,百宜,FHW,baiyi,by,247,1803,贵阳,15:30,sNnSyw==
byl,巴彦高勒,BAC,bayangaole,bygl,248,9034,巴彦淖尔,15,sM3R5bjfwNU=
byq,鲅鱼圈,BYT,bayuquan,byq,249,0216,营口,16:30,9tHT48im
byx,白银西,BXJ,baiyinxi,byx,250,2103,白银,11:30,sNfS+M73
byx,白云西,BXE,baiyunxi,byx,251,1803,贵阳,15:30,sNfUxs73
bzd,巴中东,BDE,bazhongdong,bzd,252,9014,巴中,15:30,sM3W0Lar
bzd,彬州东,BFY,binzhoudong,bzd,253,2004,咸阳,18,sfLW3bar
bzh,巴中,IEW,bazhong,bz,254,9014,巴中,15:30,sM3W0A==
bzh,滨州,BIK,binzhou,bz,255,0690,滨州,18,sfXW3Q==
bzh,亳州,BZH,bozhou,bz,256,0802,亳州,13,2fHW3Q==
bzh,宾州,BZB,binzhou,bz,257,0034,哈尔滨,09,sfbW3Q==
bzn,亳州南,BNU,bozhounan,bzn,258,0802,亳州,13,2fHW3cTP
cbg,查布嘎,CBC,chabuga,cbg,259,0508,赤峰,15,sumyvLjC
cbi,赤壁,CBN,chibi,cb,260,1317,咸宁,18,s+Cx2g==
cbs,长白山,CUL,changbaishan,cbs,261,9097,延边,16:30,s6Sw18m9
cbx,长白山西,SJL,changbaishanxi,cbsx,262,0136,白山,16:30,s6Sw18m9zvc=
cde,常德,VGQ,changde,cd,263,1422,常德,16:30,s6O1wg==
cde,承德,CDP,chengde,cd,264,0309,承德,15:30,s9C1wg==
cdn,承德南,IVP,chengdenan,cdn,265,0309,承德,16,s9C1wsTP
cfd,曹妃甸东,POP,caofeidiandong,cfdd,266,0304,唐山,16,stzl+rXptqs=
cfe,赤峰,CID,chifeng,cf,267,0508,赤峰,13,s+C35Q==
cfg,曹妃甸港,PGP,caofeidiangang,cfdg,268,0304,唐山,16,stzl+rXpuNs=
cfn,赤峰南,CFD,chifengnan,cfn,269,0508,赤峰,13,s+C35cTP
cga,嵯岗,CAX,cuogang,cg,270,9096,呼伦贝尔,16:30,4c+42g==
cga,柴岗,CGT,chaigang,cg,271,0110,长春,16:30,svG42g==
cgb,柴沟堡,CGV,chaigoubu,cgp,272,0315,张家口,15,svG5tbGk
cgb,长葛北,CGF,changgebei,cgb,273,1214,许昌,13,s6S48LGx
cgu,城固,CGY,chenggu,cg,274,2007,汉中,18,s8e5zA==
cgz,成高子,CZB,chenggaozi,cgz,275,0034,哈尔滨,16:30,s8m439fT
cha,草海,WBW,caohai,ch,276,1848,毕节,15:30,st26ow==
chd,巢湖东,GUH,chaohudong,chd,277,0809,合肥,12:30,s7K6/rar
che,柴河,CHB,chaihe,ch,278,0044,牡丹江,16:30,svG60w==
chu,巢湖,CIH,chaohu,ch,279,0809,合肥,12:30,s7K6/g==
cji,从江,KNW,congjiang,cj,280,1801,凯里,,tNO9rQ==
cjy,蔡家崖,EBV,caijiaya,cjy,281,9010,吕梁,15,ssy80tHC
cld,长乐东,CIS,changledong,cld,282,1004,福州,18,s6TA1rar
cle,长乐,CAS,changle,cl,283,1004,福州,18,s6TA1g==
clh,长临河,FVH,changlinhe,clh,284,0809,合肥,12:30,s6TB2brT
cli,慈利,CUQ,cili,cl,285,1421,张家界,17:30,tMjA+w==
cli,茶陵,CDG,chaling,cl,286,1408,株洲,17:30,sujB6g==
cli,崇礼,KOP,chongli,cl,287,0315,张家口,16,s+fA8Q==
cli,昌黎,CLP,changli,cl,288,0301,秦皇岛,16,sv3A6A==
cli,长流,CLA,changliu,cl,289,2501,海口,13:30,s6TB9w==
cln,长乐南,CVS,changlenan,cln,290,1004,福州,18,s6TA1sTP
cmi,晨明,CMB,chenming,cm,291,0016,伊春,16:30,s7/D9w==
cna,苍南,CEH,cangnan,cn,292,0920,温州,09:30,stTEzw==
cpb,昌平北,VBP,changpingbei,cpb,293,0357,北京,16,sv3GvbGx
cpd,常平东,FQQ,changpingdong,cpd,294,1504,东莞,14,s6PGvbar
cpi,翠屏,YBW,cuiping,cp,295,1714,宜宾,15:30,tOTGwQ==
cpi,昌平,CPP,changping,cp,296,0357,北京,16,sv3GvQ==
cqq,长庆桥,CQJ,changqingqiao,cqq,297,2141,庆阳,11:30,s6TH7MfF
cre,崇仁,CRG,chongren,cr,298,1147,崇仁,,s+fIyg==
csb,长寿北,COW,changshoubei,csb,299,3127,长寿,15:30,s6TK2bGx
csh,潮汕,CBQ,chaoshan,cs,301,1515,潮州,14,s7HJxw==
csq,察素齐,CSC,chasuqi,csq,302,0511,呼和浩特,15,suzL2Mbr
cti,朝天,CTE,chaotian,ct,303,1701,广元,15:30,s6/M7A==
ctn,长汀南,CNS,changtingnan,ctn,304,1053,长汀,,s6TNocTP
ctn,朝天南,CTY,chaotiannan,ctn,305,1701,广元,18,s6/M7MTP
ctu,昌图,CTT,changtu,ct,306,0204,铁岭,16:30,sv3NvA==
ctx,昌图西,CPT,changtuxi,ctx,307,0204,铁岭,16:30,sv3NvM73
ctz,长汀镇,CDB,changtingzhen,ctz,308,0044,牡丹江,16:30,s6TNodXy
cwu,长武,CWY,changwu,cw,309,2004,咸阳,18,s6TO5A==
cxi,苍溪,CXE,cangxi,cx,310,1701,广元,15:30,stTPqg==
cxi,辰溪,CXQ,chenxi,cx,311,1403,怀化,17:30,s73Pqg==
cxi,磁县,CIP,cixian,cx,312,0349,邯郸,16,tMXP2A==
cxi,楚雄,CUM,chuxiong,cx,313,1905,楚雄,15,s/7Q2w==
cxi,曹县,CXK,caoxian,cx,314,0621,菏泽,18,stzP2A==
cxi,城西,CIA,chengxi,cx,315,2501,海口,13:30,s8fO9w==
cxn,长兴南,CFH,changxingnan,cxn,316,0901,湖州,09:30,s6TQy8TP
cxt,陈相屯,CXT,chenxiangtun,cxt,317,0205,沈阳,16:30,s8LP4M3N
cya,潮阳,CNQ,chaoyang,cy,318,1516,汕头,14,s7HR9A==
cyh,朝阳湖,CYE,chaoyanghu,cyh,319,1707,成都,15:30,s6/R9Lr+
czb,滁州北,CUH,chuzhoubei,czb,320,0808,滁州,18,s/zW3bGx
czb,常州北,ESH,changzhoubei,czb,321,0708,常州,08:45,s6PW3bGx
czb,长治北,CBF,changzhibei,czb,322,0414,长治,17,s6TWzrGx
czd,长治东,CUF,changzhidong,czd,323,0414,长治,17,s6TWzrar
czh,长征,CZJ,changzheng,cz,324,2103,白银,11:30,s6TV9w==
czh,池州,IYH,chizhou,cz,325,0878,池州,10,s9jW3Q==
czh,滁州,CXH,chuzhou,cz,326,0808,滁州,18,s/zW3Q==
czh,郴州,CZQ,chenzhou,cz,327,1419,郴州,17:30,s7vW3Q==
czh,沧州,COP,cangzhou,cz,328,0334,沧州,16,stfW3Q==
czh,常州,CZH,changzhou,cz,329,0708,常州,08:45,s6PW3Q==
czh,长治,CZF,changzhi,cz,330,0414,长治,17,s6TWzg==
czh,崇州,CZE,chongzhou,cz,331,1707,成都,15:30,s+fW3Q==
czn,崇左南,COZ,chongzuonan,czn,332,1615,崇左,17:30,s+fX88TP
czu,崇左,CZZ,chongzuo,cz,333,1615,崇左,17:30,s+fX8w==
czx,郴州西,ICQ,chenzhouxi,czx,334,1419,郴州,17:30,s7vW3c73
czx,沧州西,CBP,cangzhouxi,czx,335,0334,沧州,16,stfW3c73
dab,大安北,RNT,daanbei,dab,336,0102,白城,16:30,tPOwsrGx
dad,东安东,DCZ,dongandong,dad,337,1426,永州,17:30,tquwsrar
dbc,达坂城,DCR,dabancheng,dbc,338,2403,乌鲁木齐,09,tO/b4LPH
dbi,定边,DYJ,dingbian,db,339,2015,榆林,11:30,tqix3w==
dch,东岔,DCJ,dongcha,dc,340,2101,天水,11:30,tquy7Q==
ddo,丹东,DUT,dandong,dd,341,0210,丹东,15:30,taS2qw==
dfa,东方,UFQ,dongfang,df,342,2518,东方,13:30,tqu3vQ==
dfe,丹凤,DGY,danfeng,df,343,2016,商洛,18,taS37w==
dfe,大丰,KRQ,dafeng,df,344,1408,株洲,15,tPO34Q==
dfh,东方红,DFB,dongfanghong,dfh,345,0026,鸡西,16:30,tqu3vbrs
